Tension,F0,Gauge,Density,FaceSize,PatternNumber
38.0,581.6439924568965,1.15,1.357480346371705,93.0,38
47.0,638.5708512931034,1.25,1.2304586960320611,100.0,35
47.0,637.5808189655172,1.25,1.2304586960320611,100.0,35
51.0,572.2386853448276,1.25,1.3608384254129418,100.0,35
51.0,572.7337015086207,1.25,1.3608384254129418,100.0,35
58.0,624.2153825431034,1.3,1.3684525842139896,100.0,35
58.0,624.7103987068965,1.3,1.3684525842139896,100.0,35
48.0,558.3782327586207,1.3,1.3684525842139896,100.0,35
48.0,558.3782327586207,1.3,1.3684525842139896,100.0,35
55.0,611.3449622844827,1.3,1.3684525842139896,100.0,35
55.0,611.3449622844827,1.3,1.3684525842139896,100.0,35
50.0,633.1256734913793,1.3,1.160230117687663,100.0,35
50.0,633.6206896551723,1.3,1.160230117687663,100.0,35
50.0,643.0259967672414,1.3,1.160230117687663,100.0,35
50.0,643.5210129310344,1.3,1.160230117687663,100.0,35
50.0,576.6938308189655,1.25,1.3771358915855518,98.0,35
50.0,575.2087823275862,1.25,1.3771358915855518,98.0,35
48.0,615.8001077586207,1.25,1.3771358915855518,100.0,35
48.0,615.3050915948276,1.25,1.3771358915855518,100.0,35
58.0,702.4279364224137,1.25,1.214161229859451,100.0,35
58.0,702.9229525862069,1.25,1.214161229859451,100.0,35
45.0,602.9296875,1.3,1.2280357739161627,97.0,36
45.0,601.4446390086207,1.3,1.2280357739161627,97.0,36
45.0,604.4147359913793,1.3,1.2280357739161627,100.0,35
45.0,604.4147359913793,1.3,1.2280357739161627,100.0,35
45.0,624.7103987068965,1.31,1.2241974528366752,100.0,35
45.0,626.690463362069,1.31,1.2241974528366752,100.0,35
46.0,561.8433459051724,1.3,1.2581716211288294,115.0,36
46.0,560.8533135775862,1.3,1.2581716211288294,115.0,36
52.0,608.8698814655172,1.25,1.3771358915855518,110.0,36
52.0,608.3748653017241,1.25,1.3771358915855518,110.0,36
46.0,547.4878771551724,1.25,1.3771358915855518,100.0,35
46.0,546.9928609913793,1.25,1.3771358915855518,100.0,35
53.0,584.6140894396551,1.275,1.3697767176962188,100.0,35
53.0,584.6140894396551,1.275,1.3697767176962188,100.0,35
40.0,558.3782327586207,1.2,1.3881847814126427,98.0,35
40.0,554.913119612069,1.2,1.3881847814126427,98.0,35
50.0,656.8864493534483,1.25,1.2304586960320611,100.0,35
50.0,656.8864493534483,1.25,1.2304586960320611,100.0,35
40.0,507.8865840517241,1.25,1.3608384254129418,100.0,35
40.0,508.3816002155172,1.25,1.3608384254129418,100.0,35
47.0,554.4181034482758,1.3,1.3787150099794958,100.0,35
47.0,552.9330549568965,1.3,1.3787150099794958,100.0,35
52.0,595.0094288793103,1.25,1.3608384254129418,100.0,36
52.0,595.0094288793103,1.25,1.3608384254129418,100.0,36
50.0,647.9761584051723,1.25,1.181566297514231,100.0,35
50.0,649.4612068965517,1.25,1.181566297514231,100.0,35
58.0,631.1456088362069,1.25,1.3684525842139896,95.0,35
58.0,629.6605603448276,1.25,1.3684525842139896,95.0,35
58.0,623.7203663793103,1.25,1.3684525842139896,95.0,35
58.0,622.7303340517241,1.25,1.3684525842139896,95.0,35
58.0,625.7004310344827,1.25,1.3684525842139896,95.0,35
58.0,625.7004310344827,1.25,1.3684525842139896,95.0,35
58.0,619.2652209051724,1.25,1.3684525842139896,95.0,35
58.0,619.2652209051724,1.25,1.3684525842139896,95.0,35
54.0,638.0758351293103,1.25,1.2304586960320611,108.0,35
54.0,639.0658674568965,1.25,1.2304586960320611,108.0,35
47.0,629.6605603448276,1.15,1.357480346371705,100.0,35
47.0,630.1555765086207,1.15,1.357480346371705,100.0,35
39.0,545.5078125,1.245,1.3056116270372773,97.0,35
39.0,544.5177801724137,1.245,1.3056116270372773,97.0,35
45.0,575.2087823275862,1.2,1.3684525842139896,98.0,35
45.0,575.7037984913793,1.2,1.3684525842139896,98.0,35
45.0,596.9894935344827,1.3,1.2280357739161627,100.0,36
45.0,596.9894935344827,1.3,1.2280357739161627,100.0,36
46.0,517.291891163793,1.2,1.3881847814126427,115.0,34
46.0,517.291891163793,1.2,1.3881847814126427,115.0,34
45.0,607.879849137931,1.3,1.2280357739161627,95.0,36
45.0,605.4047683189655,1.3,1.2280357739161627,95.0,36
50.0,575.2087823275862,1.25,1.3771358915855518,98.0,36
50.0,575.2087823275862,1.25,1.3771358915855518,98.0,36
52.0,615.3050915948276,1.3,1.2581716211288294,105.0,31
52.0,615.8001077586207,1.3,1.2581716211288294,105.0,31
50.0,576.1988146551724,1.25,1.3771358915855518,98.0,35
50.0,575.7037984913793,1.25,1.3771358915855518,98.0,35
45.0,630.6505926724137,1.3,1.160230117687663,97.0,35
45.0,629.6605603448276,1.3,1.160230117687663,97.0,35
56.0,667.2817887931034,1.275,1.2979092053693582,97.0,35
56.0,670.2518857758621,1.275,1.2979092053693582,97.0,35
56.0,623.7203663793103,1.275,1.2979092053693582,100.0,35
56.0,625.7004310344827,1.275,1.2979092053693582,100.0,35
50.0,607.3848329741379,1.245,1.3137603601235823,100.0,35
50.0,609.3648976293103,1.245,1.3137603601235823,100.0,35
51.0,612.8300107758621,1.245,1.3137603601235823,100.0,35
51.0,611.8399784482758,1.245,1.3137603601235823,100.0,35
58.0,637.5808189655172,1.25,1.3684525842139896,97.0,35
58.0,636.590786637931,1.25,1.3684525842139896,97.0,35
